id,start_lat,start_lng,end_lat,end_lng
1488,-6.23882900,106.75779600,-6.24614800,106.75439300
1489,-6.23515400,106.79759500,-6.23614600,106.79390600
1490,-6.18366600,106.81829000,-6.18348900,106.81850000
1491,-6.15898400,106.86931800,-6.16306900,106.87611700
1492,-6.19538600,106.74247100,-6.19278800,106.73869000
1493,-6.15516400,106.74836500,-6.15545900,106.75010300
1494,-6.24656300,106.79177300,-6.23912100,106.77446800
1495,-6.18319900,106.82492600,-6.18440300,106.82944800
1496,-6.15317100,106.79501200,-6.15076400,106.78720800
1497,-6.30642500,106.83128600,-6.30560100,106.83497300
1498,-6.35506300,106.79124500,-6.34582800,106.79207900
1499,-6.23229300,106.73263900,-6.22691300,106.73183300
1500,-6.29286200,106.71667500,-6.29301400,106.70874800
1501,-6.37018500,106.80844200,-6.36816400,106.80569800
1502,-6.18046700,106.82497700,-6.17480000,106.82266300
1503,-6.18604400,106.63345300,-6.17106300,106.63550100
1504,-6.17939200,106.88734500,-6.17685400,106.88277100
1505,-6.24942000,106.81716500,-6.25660500,106.82779700
1506,-6.20130300,106.89052800,-6.19893200,106.89012400
1507,-6.24093000,106.78755000,-6.24192400,106.79042700
1508,-6.30986000,106.88477700,-6.30947500,106.88331400
1509,-6.21325400,106.85654300,-6.21045000,106.85083100
1510,-6.16578300,106.79697600,-6.16216800,106.79716500
1511,-6.16143200,106.76222900,-6.16944000,106.76757400
1512,-6.25351900,106.94446600,-6.25562800,106.94681600
1513,-6.20796500,106.60505000,-6.21083800,106.60479000
1514,-6.37803100,106.95856400,-6.37236500,106.95696500
1515,-6.26245800,106.84326800,-6.26628600,106.84384100
1516,-6.18309500,106.85012900,-6.18611200,106.85094600
1517,-6.25444200,106.84958700,-6.25557600,106.85237400
1518,-6.21849200,106.75486900,-6.22221200,106.76051600
1519,-6.20031200,106.84405800,-6.19776800,106.84742100
1520,-6.16615600,106.79072600,-6.16551400,106.79347100
1521,-6.22291300,106.88778300,-6.22295200,106.89069100
1522,-6.17511000,106.91305400,-6.16937800,106.90949900
1523,-6.17148500,106.90354900,-6.17355000,106.90318300
1524,-6.39080300,106.76860600,-6.38948300,106.76306100
1525,-6.22523300,106.85737700,-6.22867000,106.85774900
1526,-6.29416800,106.95993000,-6.30643500,106.96246400
1527,-6.29941300,106.75035400,-6.29869000,106.75181900
1528,-6.26355200,106.79717400,-6.26578100,106.79875400
1529,-6.26342600,106.77916800,-6.25760200,106.77649700
1530,-6.28894400,106.64967100,-6.29799800,106.63614000
1531,-6.15891100,106.79332300,-6.16037900,106.79512400
1532,-6.17895300,106.79709900,-6.17755400,106.79942800
1533,-6.17245000,106.83234600,-6.17083900,106.83671400
1534,-6.24197000,106.85278000,-6.24049400,106.85194500
1535,-6.21749200,106.83534700,-6.21639700,106.83630000
1536,-6.16571500,106.81064500,-6.16669400,106.80750500
1537,-6.27616500,106.84151800,-6.27532800,106.84384800
1538,-6.23922200,106.87767300,-6.24001800,106.87642900
1539,-6.19762500,106.68179500,-6.20257500,106.69325800
1540,-6.18444900,106.83495400,-6.18628500,106.83277000
1541,-6.17390600,106.79616200,-6.17093300,106.79644800
1542,-6.28050000,107.00803200,-6.28170100,107.00791700
1543,-6.20186600,106.76932300,-6.20195900,106.78829300
1544,-6.36322800,106.84469100,-6.36321900,106.84816300
1545,-6.28585100,106.88093300,-6.28225500,106.87785800
1546,-6.22121900,106.82566300,-6.22118000,106.82446700
1547,-6.16242700,106.82664800,-6.16306600,106.82701500
1548,-6.23889300,106.79611800,-6.24202100,106.79525300
1549,-6.40354900,106.88815000,-6.39234200,106.87417000
1550,-6.31505500,106.68482200,-6.31453300,106.67705100
1551,-6.30152500,106.68406400,-6.30424900,106.68679400
1552,-6.21705800,106.83589300,-6.21891000,106.83497500
1553,-6.29357600,106.89104000,-6.29095800,106.88860000
1554,-6.30657300,106.83834600,-6.30688600,106.83544300
1555,-6.24014100,106.80823600,-6.23823200,106.80892200
1556,-6.14835400,106.83786400,-6.15418600,106.83621900
1557,-6.11389200,106.79463100,-6.11136500,106.79197100
1558,-6.20001100,106.89740300,-6.19925800,106.89758300
1559,-6.21601900,106.79382100,-6.21851100,106.79504700
1560,-6.15059900,106.87943100,-6.14976600,106.88843800
1561,-6.32623900,106.71108700,-6.32300600,106.71348900
1562,-6.31786800,106.68014700,-6.31516400,106.67745500
1563,-6.25377800,106.79743000,-6.25950900,106.79687300
1564,-6.19723100,106.75171800,-6.19972400,106.74159300
1565,-6.22935500,106.77887000,-6.23286300,106.77380500
1566,-6.20147700,106.80784900,-6.20143200,106.80849600
1567,-6.20078200,106.75329400,-6.20721000,106.75872400
1568,-6.25079800,106.86549100,-6.24859900,106.86639500
1569,-6.18609300,106.86472800,-6.18908800,106.86040300
1570,-6.22728100,106.82463100,-6.22658600,106.81948600
1571,-6.21283900,106.89955300,-6.20908800,106.89238800
1572,-6.25502800,106.60215500,-6.25510100,106.59480000
1573,-6.27398200,106.71382900,-6.26620500,106.70338300
1574,-6.25594800,106.85137600,-6.25762900,106.84995300
1575,-6.24017900,106.91658300,-6.23846700,106.91503500
1576,-6.20992300,106.83364600,-6.20998000,106.83491200
1577,-6.20969600,106.82916500,-6.20971200,106.82707300
1578,-6.21375700,106.83600300,-6.21917600,106.83591800
